set,size,algorithm,coins
0,2010,changegreedy,41
0,2010,changedp,41
1,2015,changegreedy,42
1,2015,changedp,42
2,2020,changegreedy,42
2,2020,changedp,42
3,2025,changegreedy,41
3,2025,changedp,41
4,2030,changegreedy,42
4,2030,changedp,42
5,2035,changegreedy,42
5,2035,changedp,42
6,2040,changegreedy,43
6,2040,changedp,43
7,2045,changegreedy,43
7,2045,changedp,43
8,2050,changegreedy,41
8,2050,changedp,41
9,2055,changegreedy,42
9,2055,changedp,42
10,2060,changegreedy,42
10,2060,changedp,42
11,2065,changegreedy,43
11,2065,changedp,43
12,2070,changegreedy,43
12,2070,changedp,43
13,2075,changegreedy,42
13,2075,changedp,42
14,2080,changegreedy,43
14,2080,changedp,43
15,2085,changegreedy,43
15,2085,changedp,43
16,2090,changegreedy,44
16,2090,changedp,44
17,2095,changegreedy,44
17,2095,changedp,44
18,2100,changegreedy,42
18,2100,changedp,42
19,2105,changegreedy,43
19,2105,changedp,43
20,2110,changegreedy,43
20,2110,changedp,43
21,2115,changegreedy,44
21,2115,changedp,44
22,2120,changegreedy,44
22,2120,changedp,44
23,2125,changegreedy,43
23,2125,changedp,43
24,2130,changegreedy,44
24,2130,changedp,44
25,2135,changegreedy,44
25,2135,changedp,44
26,2140,changegreedy,45
26,2140,changedp,45
27,2145,changegreedy,45
27,2145,changedp,45
28,2150,changegreedy,43
28,2150,changedp,43
29,2155,changegreedy,44
29,2155,changedp,44
30,2160,changegreedy,44
30,2160,changedp,44
31,2165,changegreedy,45
31,2165,changedp,45
32,2170,changegreedy,45
32,2170,changedp,45
33,2175,changegreedy,44
33,2175,changedp,44
34,2180,changegreedy,45
34,2180,changedp,45
35,2185,changegreedy,45
35,2185,changedp,45
36,2190,changegreedy,46
36,2190,changedp,46
37,2195,changegreedy,46
37,2195,changedp,46
38,2200,changegreedy,44
38,2200,changedp,44
0,2000,changegreedy,36
0,2000,changedp,36
1,2001,changegreedy,37
1,2001,changedp,37
2,2002,changegreedy,37
2,2002,changedp,37
3,2003,changegreedy,38
3,2003,changedp,38
4,2004,changegreedy,34
4,2004,changedp,34
5,2005,changegreedy,35
5,2005,changedp,35
6,2006,changegreedy,35
6,2006,changedp,35
7,2007,changegreedy,36
7,2007,changedp,36
8,2008,changegreedy,36
8,2008,changedp,36
9,2009,changegreedy,37
9,2009,changedp,37
10,2010,changegreedy,35
10,2010,changedp,35
11,2011,changegreedy,36
11,2011,changedp,36
12,2012,changegreedy,36
12,2012,changedp,36
13,2013,changegreedy,37
13,2013,changedp,37
14,2014,changegreedy,37
14,2014,changedp,37
15,2015,changegreedy,38
15,2015,changedp,38
16,2016,changegreedy,35
16,2016,changedp,34
17,2017,changegreedy,36
17,2017,changedp,35
18,2018,changegreedy,36
18,2018,changedp,35
19,2019,changegreedy,37
19,2019,changedp,36
20,2020,changegreedy,37
20,2020,changedp,36
21,2021,changegreedy,38
21,2021,changedp,37
22,2022,changegreedy,36
22,2022,changedp,35
23,2023,changegreedy,37
23,2023,changedp,36
24,2024,changegreedy,37
24,2024,changedp,36
25,2025,changegreedy,38
25,2025,changedp,37
26,2026,changegreedy,38
26,2026,changedp,37
27,2027,changegreedy,39
27,2027,changedp,38
28,2028,changegreedy,34
28,2028,changedp,34
29,2029,changegreedy,35
29,2029,changedp,35
30,2030,changegreedy,35
30,2030,changedp,35
31,2031,changegreedy,36
31,2031,changedp,36
32,2032,changegreedy,36
32,2032,changedp,36
33,2033,changegreedy,37
33,2033,changedp,37
34,2034,changegreedy,35
34,2034,changedp,35
35,2035,changegreedy,36
35,2035,changedp,36
36,2036,changegreedy,36
36,2036,changedp,36
37,2037,changegreedy,37
37,2037,changedp,37
38,2038,changegreedy,37
38,2038,changedp,37
39,2039,changegreedy,38
39,2039,changedp,38
40,2040,changegreedy,34
40,2040,changedp,34
41,2041,changegreedy,35
41,2041,changedp,35
42,2042,changegreedy,35
42,2042,changedp,35
43,2043,changegreedy,36
43,2043,changedp,36
44,2044,changegreedy,36
44,2044,changedp,36
45,2045,changegreedy,37
45,2045,changedp,37
46,2046,changegreedy,35
46,2046,changedp,35
47,2047,changegreedy,36
47,2047,changedp,36
48,2048,changegreedy,36
48,2048,changedp,36
49,2049,changegreedy,37
49,2049,changedp,37
50,2050,changegreedy,37
50,2050,changedp,37
51,2051,changegreedy,38
51,2051,changedp,38
52,2052,changegreedy,35
52,2052,changedp,35
53,2053,changegreedy,36
53,2053,changedp,36
54,2054,changegreedy,36
54,2054,changedp,36
55,2055,changegreedy,37
55,2055,changedp,37
56,2056,changegreedy,37
56,2056,changedp,37
57,2057,changegreedy,38
57,2057,changedp,38
58,2058,changegreedy,36
58,2058,changedp,36
59,2059,changegreedy,37
59,2059,changedp,37
60,2060,changegreedy,37
60,2060,changedp,37
61,2061,changegreedy,38
61,2061,changedp,38
62,2062,changegreedy,38
62,2062,changedp,38
63,2063,changegreedy,39
63,2063,changedp,39
64,2064,changegreedy,35
64,2064,changedp,35
65,2065,changegreedy,36
65,2065,changedp,36
66,2066,changegreedy,36
66,2066,changedp,36
67,2067,changegreedy,37
67,2067,changedp,37
68,2068,changegreedy,37
68,2068,changedp,37
69,2069,changegreedy,38
69,2069,changedp,38
70,2070,changegreedy,36
70,2070,changedp,36
71,2071,changegreedy,37
71,2071,changedp,37
72,2072,changegreedy,37
72,2072,changedp,37
73,2073,changegreedy,38
73,2073,changedp,38
74,2074,changegreedy,38
74,2074,changedp,38
75,2075,changegreedy,39
75,2075,changedp,39
76,2076,changegreedy,36
76,2076,changedp,35
77,2077,changegreedy,37
77,2077,changedp,36
78,2078,changegreedy,37
78,2078,changedp,36
79,2079,changegreedy,38
79,2079,changedp,37
80,2080,changegreedy,38
80,2080,changedp,37
81,2081,changegreedy,39
81,2081,changedp,38
82,2082,changegreedy,37
82,2082,changedp,36
83,2083,changegreedy,38
83,2083,changedp,37
84,2084,changegreedy,38
84,2084,changedp,37
85,2085,changegreedy,39
85,2085,changedp,38
86,2086,changegreedy,39
86,2086,changedp,38
87,2087,changegreedy,40
87,2087,changedp,39
88,2088,changegreedy,35
88,2088,changedp,35
89,2089,changegreedy,36
89,2089,changedp,36
90,2090,changegreedy,36
90,2090,changedp,36
91,2091,changegreedy,37
91,2091,changedp,37
92,2092,changegreedy,37
92,2092,changedp,37
93,2093,changegreedy,38
93,2093,changedp,38
94,2094,changegreedy,36
94,2094,changedp,36
95,2095,changegreedy,37
95,2095,changedp,37
96,2096,changegreedy,37
96,2096,changedp,37
97,2097,changegreedy,38
97,2097,changedp,38
98,2098,changegreedy,38
98,2098,changedp,38
99,2099,changegreedy,39
99,2099,changedp,39
100,2100,changegreedy,35
100,2100,changedp,35
101,2101,changegreedy,36
101,2101,changedp,36
102,2102,changegreedy,36
102,2102,changedp,36
103,2103,changegreedy,37
103,2103,changedp,37
104,2104,changegreedy,37
104,2104,changedp,37
105,2105,changegreedy,38
105,2105,changedp,38
106,2106,changegreedy,36
106,2106,changedp,36
107,2107,changegreedy,37
107,2107,changedp,37
108,2108,changegreedy,37
108,2108,changedp,37
109,2109,changegreedy,38
109,2109,changedp,38
110,2110,changegreedy,38
110,2110,changedp,38
111,2111,changegreedy,39
111,2111,changedp,39
112,2112,changegreedy,36
112,2112,changedp,36
113,2113,changegreedy,37
113,2113,changedp,37
114,2114,changegreedy,37
114,2114,changedp,37
115,2115,changegreedy,38
115,2115,changedp,38
116,2116,changegreedy,38
116,2116,changedp,38
117,2117,changegreedy,39
117,2117,changedp,39
118,2118,changegreedy,37
118,2118,changedp,37
119,2119,changegreedy,38
119,2119,changedp,38
120,2120,changegreedy,38
120,2120,changedp,38
121,2121,changegreedy,39
121,2121,changedp,39
122,2122,changegreedy,39
122,2122,changedp,39
123,2123,changegreedy,40
123,2123,changedp,40
124,2124,changegreedy,36
124,2124,changedp,36
125,2125,changegreedy,37
125,2125,changedp,37
126,2126,changegreedy,37
126,2126,changedp,37
127,2127,changegreedy,38
127,2127,changedp,38
128,2128,changegreedy,38
128,2128,changedp,38
129,2129,changegreedy,39
129,2129,changedp,39
130,2130,changegreedy,37
130,2130,changedp,37
131,2131,changegreedy,38
131,2131,changedp,38
132,2132,changegreedy,38
132,2132,changedp,38
133,2133,changegreedy,39
133,2133,changedp,39
134,2134,changegreedy,39
134,2134,changedp,39
135,2135,changegreedy,40
135,2135,changedp,40
136,2136,changegreedy,37
136,2136,changedp,36
137,2137,changegreedy,38
137,2137,changedp,37
138,2138,changegreedy,38
138,2138,changedp,37
139,2139,changegreedy,39
139,2139,changedp,38
140,2140,changegreedy,39
140,2140,changedp,38
141,2141,changegreedy,40
141,2141,changedp,39
142,2142,changegreedy,38
142,2142,changedp,37
143,2143,changegreedy,39
143,2143,changedp,38
144,2144,changegreedy,39
144,2144,changedp,38
145,2145,changegreedy,40
145,2145,changedp,39
146,2146,changegreedy,40
146,2146,changedp,39
147,2147,changegreedy,41
147,2147,changedp,40
148,2148,changegreedy,36
148,2148,changedp,36
149,2149,changegreedy,37
149,2149,changedp,37
150,2150,changegreedy,37
150,2150,changedp,37
151,2151,changegreedy,38
151,2151,changedp,38
152,2152,changegreedy,38
152,2152,changedp,38
153,2153,changegreedy,39
153,2153,changedp,39
154,2154,changegreedy,37
154,2154,changedp,37
155,2155,changegreedy,38
155,2155,changedp,38
156,2156,changegreedy,38
156,2156,changedp,38
157,2157,changegreedy,39
157,2157,changedp,39
158,2158,changegreedy,39
158,2158,changedp,39
159,2159,changegreedy,40
159,2159,changedp,40
160,2160,changegreedy,36
160,2160,changedp,36
161,2161,changegreedy,37
161,2161,changedp,37
162,2162,changegreedy,37
162,2162,changedp,37
163,2163,changegreedy,38
163,2163,changedp,38
164,2164,changegreedy,38
164,2164,changedp,38
165,2165,changegreedy,39
165,2165,changedp,39
166,2166,changegreedy,37
166,2166,changedp,37
167,2167,changegreedy,38
167,2167,changedp,38
168,2168,changegreedy,38
168,2168,changedp,38
169,2169,changegreedy,39
169,2169,changedp,39
170,2170,changegreedy,39
170,2170,changedp,39
171,2171,changegreedy,40
171,2171,changedp,40
172,2172,changegreedy,37
172,2172,changedp,37
173,2173,changegreedy,38
173,2173,changedp,38
174,2174,changegreedy,38
174,2174,changedp,38
175,2175,changegreedy,39
175,2175,changedp,39
176,2176,changegreedy,39
176,2176,changedp,39
177,2177,changegreedy,40
177,2177,changedp,40
178,2178,changegreedy,38
178,2178,changedp,38
179,2179,changegreedy,39
179,2179,changedp,39
180,2180,changegreedy,39
180,2180,changedp,39
181,2181,changegreedy,40
181,2181,changedp,40
182,2182,changegreedy,40
182,2182,changedp,40
183,2183,changegreedy,41
183,2183,changedp,41
184,2184,changegreedy,37
184,2184,changedp,37
185,2185,changegreedy,38
185,2185,changedp,38
186,2186,changegreedy,38
186,2186,changedp,38
187,2187,changegreedy,39
187,2187,changedp,39
188,2188,changegreedy,39
188,2188,changedp,39
189,2189,changegreedy,40
189,2189,changedp,40
190,2190,changegreedy,38
190,2190,changedp,38
191,2191,changegreedy,39
191,2191,changedp,39
192,2192,changegreedy,39
192,2192,changedp,39
193,2193,changegreedy,40
193,2193,changedp,40
194,2194,changegreedy,40
194,2194,changedp,40
195,2195,changegreedy,41
195,2195,changedp,41
196,2196,changegreedy,38
196,2196,changedp,37
197,2197,changegreedy,39
197,2197,changedp,38
198,2198,changegreedy,39
198,2198,changedp,38
199,2199,changegreedy,40
199,2199,changedp,39
200,2200,changegreedy,40
200,2200,changedp,39
0,2000,changegreedy,15
0,2000,changedp,15
1,2001,changegreedy,16
1,2001,changedp,16
2,2002,changegreedy,17
2,2002,changedp,17
3,2003,changegreedy,18
3,2003,changedp,18
4,2004,changegreedy,19
4,2004,changedp,19
5,2005,changegreedy,20
5,2005,changedp,17
6,2006,changegreedy,16
6,2006,changedp,16
7,2007,changegreedy,17
7,2007,changedp,17
8,2008,changegreedy,18
8,2008,changedp,18
9,2009,changegreedy,19
9,2009,changedp,19
10,2010,changegreedy,20
10,2010,changedp,20
11,2011,changegreedy,21
11,2011,changedp,18
12,2012,changegreedy,17
12,2012,changedp,17
13,2013,changegreedy,16
13,2013,changedp,16
14,2014,changegreedy,17
14,2014,changedp,17
15,2015,changegreedy,18
15,2015,changedp,18
16,2016,changegreedy,19
16,2016,changedp,19
17,2017,changegreedy,20
17,2017,changedp,19
18,2018,changegreedy,21
18,2018,changedp,18
19,2019,changegreedy,17
19,2019,changedp,17
20,2020,changegreedy,18
20,2020,changedp,18
21,2021,changegreedy,19
21,2021,changedp,19
22,2022,changegreedy,20
22,2022,changedp,18
23,2023,changegreedy,21
23,2023,changedp,19
24,2024,changegreedy,15
24,2024,changedp,15
25,2025,changegreedy,16
25,2025,changedp,16
26,2026,changegreedy,17
26,2026,changedp,17
27,2027,changegreedy,18
27,2027,changedp,18
28,2028,changegreedy,19
28,2028,changedp,19
29,2029,changegreedy,20
29,2029,changedp,20
30,2030,changegreedy,16
30,2030,changedp,16
31,2031,changegreedy,17
31,2031,changedp,17
32,2032,changegreedy,18
32,2032,changedp,18
33,2033,changegreedy,19
33,2033,changedp,19
34,2034,changegreedy,20
34,2034,changedp,20
35,2035,changegreedy,21
35,2035,changedp,19
36,2036,changegreedy,17
36,2036,changedp,17
37,2037,changegreedy,16
37,2037,changedp,16
38,2038,changegreedy,17
38,2038,changedp,17
39,2039,changegreedy,18
39,2039,changedp,18
40,2040,changegreedy,19
40,2040,changedp,19
41,2041,changegreedy,20
41,2041,changedp,20
42,2042,changegreedy,21
42,2042,changedp,18
43,2043,changegreedy,17
43,2043,changedp,17
44,2044,changegreedy,18
44,2044,changedp,18
45,2045,changegreedy,19
45,2045,changedp,19
46,2046,changegreedy,20
46,2046,changedp,20
47,2047,changegreedy,21
47,2047,changedp,21
48,2048,changegreedy,22
48,2048,changedp,19
49,2049,changegreedy,18
49,2049,changedp,18
50,2050,changegreedy,17
50,2050,changedp,17
51,2051,changegreedy,18
51,2051,changedp,18
52,2052,changegreedy,19
52,2052,changedp,19
53,2053,changegreedy,20
53,2053,changedp,20
54,2054,changegreedy,21
54,2054,changedp,20
55,2055,changegreedy,22
55,2055,changedp,19
56,2056,changegreedy,18
56,2056,changedp,18
57,2057,changegreedy,19
57,2057,changedp,19
58,2058,changegreedy,20
58,2058,changedp,20
59,2059,changegreedy,21
59,2059,changedp,19
60,2060,changegreedy,22
60,2060,changedp,20
61,2061,changegreedy,16
61,2061,changedp,16
62,2062,changegreedy,17
62,2062,changedp,17
63,2063,changegreedy,18
63,2063,changedp,18
64,2064,changegreedy,19
64,2064,changedp,19
65,2065,changegreedy,20
65,2065,changedp,20
66,2066,changegreedy,21
66,2066,changedp,21
67,2067,changegreedy,17
67,2067,changedp,17
68,2068,changegreedy,18
68,2068,changedp,18
69,2069,changegreedy,19
69,2069,changedp,19
70,2070,changegreedy,20
70,2070,changedp,20
71,2071,changegreedy,21
71,2071,changedp,21
72,2072,changegreedy,22
72,2072,changedp,20
73,2073,changegreedy,18
73,2073,changedp,18
74,2074,changegreedy,17
74,2074,changedp,17
75,2075,changegreedy,18
75,2075,changedp,18
76,2076,changegreedy,19
76,2076,changedp,19
77,2077,changegreedy,20
77,2077,changedp,20
78,2078,changegreedy,21
78,2078,changedp,21
79,2079,changegreedy,22
79,2079,changedp,19
80,2080,changegreedy,18
80,2080,changedp,18
81,2081,changegreedy,19
81,2081,changedp,19
82,2082,changegreedy,20
82,2082,changedp,20
